# {"t_start": 1585585018.7087429, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-3.414448,999,354.885565
-3.105371,999,355.315052
-3.325406,999,355.79509
-3.551763,999,356.224275
-3.158755,999,356.703396
-3.084272,999,357.136261
-3.096201,999,357.62168
-3.190703,999,358.056674
-3.379088,999,358.532288
-3.316701,999,358.954056
-3.160783,999,359.443175
-3.375433,999,359.907031
-3.258343,999,360.381644
-3.288327,999,360.818046
-2.911918,999,361.320207
-2.952295,999,361.910576
-3.167583,999,362.487312
-3.194512,999,363.107331
-3.11841,999,363.826706
-3.160832,999,364.38643
-3.214026,999,364.882714
-3.111361,999,365.311604
-3.020137,999,365.797617
-3.17052,999,366.227517
-3.271972,999,366.71008
-3.019104,999,367.142942
-3.435824,999,367.618974
-3.012629,999,368.049531
-3.128277,999,368.5338
-3.018651,999,368.965758
-2.965432,999,369.445132
-3.090945,999,369.880735
-2.866476,999,370.354301
-3.18783,999,370.778737
-3.169225,999,371.25399
-2.681031,999,371.686596
-2.798933,999,372.166246
-2.994815,999,372.597052
-2.980105,999,373.077591
-3.246237,999,373.508049
-2.916111,999,373.945477
-2.763001,999,374.423382
-2.734266,999,374.862342
-2.999584,999,375.344141
-2.687129,999,375.780624
-2.890344,999,376.269737
-2.817018,999,376.700272
-2.921803,999,377.193654
-2.91293,999,377.622146
-2.792222,999,378.103764
-2.857638,999,378.530916
-2.731807,999,379.011412
-2.747467,999,379.442953
-2.651899,999,379.917455
-2.848264,999,380.346559
-2.711561,999,380.831993
-2.792483,999,381.262461
-2.762737,999,381.744011
-2.466615,999,382.171102
-2.527762,999,382.649492
-2.780137,999,383.078683
-2.671774,999,383.557559
-2.6123,999,383.994815
-2.694335,999,384.491358
-2.552114,999,384.926577
-2.668163,999,385.405564
-2.493637,999,385.833109
-2.438059,999,386.310705
-2.595724,999,386.740583
-2.602928,999,387.22412
-2.566065,999,387.655384
-2.569656,999,388.139691
-2.392146,999,388.570886
-2.490507,999,389.059067
-2.43893,999,389.500462
-2.580887,999,389.981872
-2.358841,999,390.407889
-2.653637,999,390.88902
-2.463297,999,391.3183
-2.495652,999,391.833253
-2.507744,999,392.263738
-2.288019,999,392.695338
-2.324153,999,393.178488
-2.484444,999,393.653933
-2.461677,999,394.142612
-2.369671,999,394.573654
-2.319989,999,395.05476
-2.363459,999,395.485181
-2.121669,999,395.978905
-2.168732,999,396.409678
-2.418097,999,396.89385
-2.198776,999,397.32338
-2.108711,999,397.797424
-2.199724,999,398.228168
-2.330209,999,398.705682
-2.327624,999,399.146386
-2.226612,999,399.621413
-2.401942,999,400.054582
-2.109675,999,400.533865
-2.433001,999,400.979862
-2.30963,999,401.456585
-2.134304,999,401.88801
-2.331525,999,402.36301
-2.074916,999,402.796598
-2.100901,999,403.278511
-2.231341,999,403.708288
-2.261425,999,404.186891
-2.162488,999,404.618996
-2.212508,999,405.101353
-2.207942,999,405.528882
-2.210301,999,406.005572
-2.292875,999,406.436277
-1.94863,999,406.910224
-2.11789,999,407.33898
-2.185342,999,407.821581
-2.116036,999,408.249967
-2.056996,999,408.726923
-1.967854,999,409.159715
-1.85972,999,409.635805
-2.097882,999,410.064254
-2.066044,999,410.538931
-2.072448,999,410.971202
-2.094447,999,411.400044
-2.073939,999,411.881164
-2.097324,999,412.315432
-1.975513,999,412.818397
-1.956162,999,413.245182
-1.99811,999,413.727244
-2.066956,999,414.162673
-2.005358,999,414.637956
-1.834845,999,415.069912
-1.902824,999,415.542546
-1.920651,999,415.976392
-1.950691,999,416.460425
-1.979138,999,416.891806
-1.897285,999,417.370313
-1.846627,999,417.802689
-1.891731,999,418.278934
-1.952523,999,418.708063
-1.819165,999,419.178634
-1.927226,999,419.621559
-1.790011,999,420.107987
-2.01223,999,420.548382
-1.895141,999,421.042696
-1.909671,999,421.521153
-1.905404,999,422.001755
-1.89319,999,422.430842
-1.833457,999,422.925824
-1.82592,999,423.368406
-1.866682,999,423.882491
-1.731238,999,424.313024
-1.80172,999,424.805263
-1.755544,999,425.243689
-1.845975,999,425.738096
-1.871653,999,426.178263
-1.869713,999,426.667367
-1.748417,999,427.109692
-1.787094,999,427.595814
-1.861379,999,428.0394
-1.598048,999,428.529508
-1.63235,999,428.985274
-1.648197,999,429.474516
-1.769229,999,429.925423
-1.686597,999,430.36808
-1.690991,999,430.861145
-1.784196,999,431.304658
-1.613842,999,431.811666
-1.775882,999,432.256461
-1.687234,999,432.760881
-1.685421,999,433.218505
-1.617579,999,433.695184
-1.620998,999,434.12457
-1.576929,999,434.600927
-1.570952,999,435.042867
-1.550096,999,435.536252
-1.583211,999,435.990718
-1.616301,999,436.487315
-1.642363,999,436.947307
-1.526826,999,437.441728
-1.56403,999,437.893811
-1.478181,999,438.388135
-1.595724,999,438.839706
-1.588313,999,439.334097
-1.531505,999,439.78121
-1.41335,999,440.276902
-1.447858,999,440.724702
-1.531472,999,441.225166
-1.490721,999,441.672899
